Running on node: odo02
Python3 executable path: /gpfs/wolf2/olcf/trn040/scratch/kmn3/envs/hf-transformers1/bin/python3
Current working directory: /gpfs/wolf2/olcf/trn040/scratch/kmn3
(22615, 2)
{'question': 'what are the signs and symptoms of CBB disease?', 'answers': 'The disease causes wilting, yellowing of the leaves, and rotting of the stems and roots'}
trainable params: 3,407,872 || all params: 8,033,669,120 || trainable%: 0.0424
{'loss': 2.6784, 'grad_norm': 16.784425735473633, 'learning_rate': 4e-05, 'num_tokens': 10092.0, 'mean_token_accuracy': 0.4101694458723068, 'epoch': 0.04}
{'loss': 2.8102, 'grad_norm': 17.991674423217773, 'learning_rate': 4e-05, 'num_tokens': 10704.0, 'mean_token_accuracy': 0.38677291497588157, 'epoch': 0.04}
{'loss': 2.7215, 'grad_norm': 17.285728454589844, 'learning_rate': 4e-05, 'num_tokens': 11268.0, 'mean_token_accuracy': 0.39253861010074614, 'epoch': 0.04}
{'loss': 2.7948, 'grad_norm': 12.216444969177246, 'learning_rate': 4e-05, 'num_tokens': 11862.0, 'mean_token_accuracy': 0.3961553233861923, 'epoch': 0.04}
{'loss': 2.5593, 'grad_norm': 10.75361442565918, 'learning_rate': 4e-05, 'num_tokens': 12468.0, 'mean_token_accuracy': 0.4470758166909218, 'epoch': 0.05}
{'loss': 2.5693, 'grad_norm': 9.8631591796875, 'learning_rate': 4e-05, 'num_tokens': 13036.0, 'mean_token_accuracy': 0.40957928240299224, 'epoch': 0.05}
{'loss': 2.7307, 'grad_norm': 21.006837844848633, 'learning_rate': 4e-05, 'num_tokens': 13619.0, 'mean_token_accuracy': 0.3913749654591083, 'epoch': 0.05}
{'loss': 2.5598, 'grad_norm': 15.140698432922363, 'learning_rate': 4e-05, 'num_tokens': 14174.0, 'mean_token_accuracy': 0.41024979621171953, 'epoch': 0.05}
{'loss': 2.5556, 'grad_norm': 14.39517593383789, 'learning_rate': 4e-05, 'num_tokens': 14764.0, 'mean_token_accuracy': 0.43624894350767135, 'epoch': 0.06}
{'loss': 2.4949, 'grad_norm': 15.693856239318848, 'learning_rate': 4e-05, 'num_tokens': 15349.0, 'mean_token_accuracy': 0.44334322690963746, 'epoch': 0.06}
{'loss': 2.5766, 'grad_norm': 16.99114227294922, 'learning_rate': 4e-05, 'num_tokens': 15960.0, 'mean_token_accuracy': 0.42038326144218446, 'epoch': 0.06}
{'loss': 2.6858, 'grad_norm': 14.942832946777344, 'learning_rate': 4e-05, 'num_tokens': 16522.0, 'mean_token_accuracy': 0.41659019872546194, 'epoch': 0.06}
{'loss': 2.7101, 'grad_norm': 18.87751007080078, 'learning_rate': 4e-05, 'num_tokens': 17083.0, 'mean_token_accuracy': 0.422490931302309, 'epoch': 0.06}
{'loss': 2.2682, 'grad_norm': 14.464376449584961, 'learning_rate': 4e-05, 'num_tokens': 17686.0, 'mean_token_accuracy': 0.47987694025039673, 'epoch': 0.07}
{'loss': 2.6245, 'grad_norm': 11.716930389404297, 'learning_rate': 4e-05, 'num_tokens': 18243.0, 'mean_token_accuracy': 0.40933538988232615, 'epoch': 0.07}
{'loss': 2.3512, 'grad_norm': 16.07107925415039, 'learning_rate': 4e-05, 'num_tokens': 18852.0, 'mean_token_accuracy': 0.4797267326712608, 'epoch': 0.07}
{'loss': 2.6134, 'grad_norm': 15.733100891113281, 'learning_rate': 4e-05, 'num_tokens': 19384.0, 'mean_token_accuracy': 0.4183340060710907, 'epoch': 0.07}
{'loss': 2.5969, 'grad_norm': 17.390213012695312, 'learning_rate': 4e-05, 'num_tokens': 19911.0, 'mean_token_accuracy': 0.3880734926462173, 'epoch': 0.08}
{'loss': 2.6412, 'grad_norm': 20.62989616394043, 'learning_rate': 4e-05, 'num_tokens': 20483.0, 'mean_token_accuracy': 0.4182734017074108, 'epoch': 0.08}
{'loss': 2.4771, 'grad_norm': 11.673481941223145, 'learning_rate': 4e-05, 'num_tokens': 21090.0, 'mean_token_accuracy': 0.4250175857543945, 'epoch': 0.08}
{'loss': 2.6753, 'grad_norm': 10.940593719482422, 'learning_rate': 4e-05, 'num_tokens': 21636.0, 'mean_token_accuracy': 0.4290941941738129, 'epoch': 0.08}
{'loss': 2.4238, 'grad_norm': 14.645469665527344, 'learning_rate': 4e-05, 'num_tokens': 22271.0, 'mean_token_accuracy': 0.43519452556967736, 'epoch': 0.08}
{'loss': 2.5241, 'grad_norm': 13.795185089111328, 'learning_rate': 4e-05, 'num_tokens': 22835.0, 'mean_token_accuracy': 0.41297648653388025, 'epoch': 0.09}
{'loss': 2.3461, 'grad_norm': 13.851195335388184, 'learning_rate': 4e-05, 'num_tokens': 23463.0, 'mean_token_accuracy': 0.46021802693605424, 'epoch': 0.09}
{'loss': 2.5158, 'grad_norm': 15.384139060974121, 'learning_rate': 4e-05, 'num_tokens': 24022.0, 'mean_token_accuracy': 0.4375296325981617, 'epoch': 0.09}
{'loss': 2.5321, 'grad_norm': 18.824264526367188, 'learning_rate': 4e-05, 'num_tokens': 24573.0, 'mean_token_accuracy': 0.41161515086889267, 'epoch': 0.09}
{'loss': 2.5058, 'grad_norm': 18.0821533203125, 'learning_rate': 4e-05, 'num_tokens': 25240.0, 'mean_token_accuracy': 0.4170284816622734, 'epoch': 0.1}
{'loss': 2.6836, 'grad_norm': 21.63862419128418, 'learning_rate': 4e-05, 'num_tokens': 25823.0, 'mean_token_accuracy': 0.4088963769376278, 'epoch': 0.1}
{'loss': 2.3458, 'grad_norm': 13.786662101745605, 'learning_rate': 4e-05, 'num_tokens': 26424.0, 'mean_token_accuracy': 0.45066735565662386, 'epoch': 0.1}
{'loss': 2.5825, 'grad_norm': 20.190725326538086, 'learning_rate': 4e-05, 'num_tokens': 27033.0, 'mean_token_accuracy': 0.43066863626241686, 'epoch': 0.1}
{'loss': 2.3946, 'grad_norm': 24.777896881103516, 'learning_rate': 4e-05, 'num_tokens': 27556.0, 'mean_token_accuracy': 0.4340235087275505, 'epoch': 0.1}
{'loss': 2.3094, 'grad_norm': 10.47451114654541, 'learning_rate': 4e-05, 'num_tokens': 28120.0, 'mean_token_accuracy': 0.45340515598654746, 'epoch': 0.11}
{'loss': 2.2322, 'grad_norm': 11.721027374267578, 'learning_rate': 4e-05, 'num_tokens': 28712.0, 'mean_token_accuracy': 0.4901472786068916, 'epoch': 0.11}
{'loss': 2.4823, 'grad_norm': 18.803537368774414, 'learning_rate': 4e-05, 'num_tokens': 29315.0, 'mean_token_accuracy': 0.44697145581245423, 'epoch': 0.11}
{'loss': 2.4944, 'grad_norm': 19.26367950439453, 'learning_rate': 4e-05, 'num_tokens': 29926.0, 'mean_token_accuracy': 0.44706560105085374, 'epoch': 0.11}
{'loss': 2.0944, 'grad_norm': 14.508665084838867, 'learning_rate': 4e-05, 'num_tokens': 30482.0, 'mean_token_accuracy': 0.49008368611335756, 'epoch': 0.11}
{'loss': 2.1888, 'grad_norm': 12.176072120666504, 'learning_rate': 4e-05, 'num_tokens': 31141.0, 'mean_token_accuracy': 0.49418092265725133, 'epoch': 0.12}
{'loss': 2.2576, 'grad_norm': 14.403812408447266, 'learning_rate': 4e-05, 'num_tokens': 31761.0, 'mean_token_accuracy': 0.47598850816488264, 'epoch': 0.12}
{'loss': 2.3262, 'grad_norm': 14.707191467285156, 'learning_rate': 4e-05, 'num_tokens': 32327.0, 'mean_token_accuracy': 0.45509869933128355, 'epoch': 0.12}
{'loss': 2.4735, 'grad_norm': 20.556663513183594, 'learning_rate': 4e-05, 'num_tokens': 32905.0, 'mean_token_accuracy': 0.41818223625421524, 'epoch': 0.12}
{'loss': 2.274, 'grad_norm': 17.592004776000977, 'learning_rate': 4e-05, 'num_tokens': 33487.0, 'mean_token_accuracy': 0.4822459499537945, 'epoch': 0.13}
{'loss': 2.445, 'grad_norm': 14.659890174865723, 'learning_rate': 4e-05, 'num_tokens': 34102.0, 'mean_token_accuracy': 0.43029386654496193, 'epoch': 0.13}
{'loss': 2.5745, 'grad_norm': 19.45128059387207, 'learning_rate': 4e-05, 'num_tokens': 34708.0, 'mean_token_accuracy': 0.4508354187011719, 'epoch': 0.13}
{'loss': 2.3541, 'grad_norm': 15.051854133605957, 'learning_rate': 4e-05, 'num_tokens': 35320.0, 'mean_token_accuracy': 0.45118142634630204, 'epoch': 0.13}
{'loss': 2.1524, 'grad_norm': 20.43925666809082, 'learning_rate': 4e-05, 'num_tokens': 35886.0, 'mean_token_accuracy': 0.505632280409336, 'epoch': 0.13}
{'loss': 2.3255, 'grad_norm': 20.300514221191406, 'learning_rate': 4e-05, 'num_tokens': 36494.0, 'mean_token_accuracy': 0.46041816353797915, 'epoch': 0.14}
{'loss': 2.1797, 'grad_norm': 19.80205535888672, 'learning_rate': 4e-05, 'num_tokens': 37097.0, 'mean_token_accuracy': 0.4761905798316002, 'epoch': 0.14}
{'loss': 2.2701, 'grad_norm': 17.076622009277344, 'learning_rate': 4e-05, 'num_tokens': 37664.0, 'mean_token_accuracy': 0.46255842596292496, 'epoch': 0.14}
{'loss': 2.4706, 'grad_norm': 27.28740119934082, 'learning_rate': 4e-05, 'num_tokens': 38282.0, 'mean_token_accuracy': 0.4712501636147499, 'epoch': 0.14}
{'loss': 2.2682, 'grad_norm': 15.549551963806152, 'learning_rate': 4e-05, 'num_tokens': 38934.0, 'mean_token_accuracy': 0.493977969288826, 'epoch': 0.15}
{'loss': 2.2036, 'grad_norm': 18.085800170898438, 'learning_rate': 4e-05, 'num_tokens': 39539.0, 'mean_token_accuracy': 0.4967886221408844, 'epoch': 0.15}
{'loss': 2.3331, 'grad_norm': 19.270076751708984, 'learning_rate': 4e-05, 'num_tokens': 40087.0, 'mean_token_accuracy': 0.4622595140337944, 'epoch': 0.15}
{'loss': 2.3361, 'grad_norm': 23.28380012512207, 'learning_rate': 4e-05, 'num_tokens': 40639.0, 'mean_token_accuracy': 0.43566265821456907, 'epoch': 0.15}
{'loss': 2.3, 'grad_norm': 18.238035202026367, 'learning_rate': 4e-05, 'num_tokens': 41218.0, 'mean_token_accuracy': 0.460474408864975, 'epoch': 0.15}
{'loss': 2.3368, 'grad_norm': 15.060317993164062, 'learning_rate': 4e-05, 'num_tokens': 41833.0, 'mean_token_accuracy': 0.4359719030559063, 'epoch': 0.16}
{'loss': 2.1199, 'grad_norm': 36.55189514160156, 'learning_rate': 4e-05, 'num_tokens': 42438.0, 'mean_token_accuracy': 0.4738611453771591, 'epoch': 0.16}
{'loss': 2.2691, 'grad_norm': 29.883140563964844, 'learning_rate': 4e-05, 'num_tokens': 43037.0, 'mean_token_accuracy': 0.4957798942923546, 'epoch': 0.16}
{'loss': 2.3894, 'grad_norm': 27.119678497314453, 'learning_rate': 4e-05, 'num_tokens': 43646.0, 'mean_token_accuracy': 0.4486597341299057, 'epoch': 0.16}
{'loss': 2.08, 'grad_norm': 23.471397399902344, 'learning_rate': 4e-05, 'num_tokens': 44268.0, 'mean_token_accuracy': 0.5230698955059051, 'epoch': 0.17}
{'loss': 2.2805, 'grad_norm': 25.521833419799805, 'learning_rate': 4e-05, 'num_tokens': 44867.0, 'mean_token_accuracy': 0.48001658022403715, 'epoch': 0.17}
{'loss': 2.1722, 'grad_norm': 21.38698959350586, 'learning_rate': 4e-05, 'num_tokens': 45466.0, 'mean_token_accuracy': 0.5142151537537575, 'epoch': 0.17}
{'loss': 2.2036, 'grad_norm': 24.696430206298828, 'learning_rate': 4e-05, 'num_tokens': 46105.0, 'mean_token_accuracy': 0.4726413889229298, 'epoch': 0.17}
{'loss': 2.2421, 'grad_norm': 23.24100112915039, 'learning_rate': 4e-05, 'num_tokens': 46800.0, 'mean_token_accuracy': 0.4611237117648125, 'epoch': 0.17}
{'loss': 2.3047, 'grad_norm': 25.55088233947754, 'learning_rate': 4e-05, 'num_tokens': 47332.0, 'mean_token_accuracy': 0.4496150118112564, 'epoch': 0.18}
{'loss': 2.1048, 'grad_norm': 22.287166595458984, 'learning_rate': 4e-05, 'num_tokens': 47889.0, 'mean_token_accuracy': 0.4802518019080162, 'epoch': 0.18}
{'loss': 2.1457, 'grad_norm': 16.455821990966797, 'learning_rate': 4e-05, 'num_tokens': 48443.0, 'mean_token_accuracy': 0.49975641041994096, 'epoch': 0.18}
{'loss': 2.1848, 'grad_norm': 22.593141555786133, 'learning_rate': 4e-05, 'num_tokens': 49042.0, 'mean_token_accuracy': 0.44684280157089235, 'epoch': 0.18}
{'loss': 2.072, 'grad_norm': 19.325420379638672, 'learning_rate': 4e-05, 'num_tokens': 49609.0, 'mean_token_accuracy': 0.4709151571989059, 'epoch': 0.19}
{'loss': 2.2437, 'grad_norm': 21.13127899169922, 'learning_rate': 4e-05, 'num_tokens': 50219.0, 'mean_token_accuracy': 0.45530805110931394, 'epoch': 0.19}
{'loss': 2.1527, 'grad_norm': 27.564605712890625, 'learning_rate': 4e-05, 'num_tokens': 50824.0, 'mean_token_accuracy': 0.4929255391657352, 'epoch': 0.19}
{'loss': 2.268, 'grad_norm': 27.882423400878906, 'learning_rate': 4e-05, 'num_tokens': 51427.0, 'mean_token_accuracy': 0.45415771037340164, 'epoch': 0.19}
{'loss': 2.2038, 'grad_norm': 21.256214141845703, 'learning_rate': 4e-05, 'num_tokens': 52033.0, 'mean_token_accuracy': 0.4861846205592155, 'epoch': 0.19}
{'loss': 2.0798, 'grad_norm': 30.006431579589844, 'learning_rate': 4e-05, 'num_tokens': 52687.0, 'mean_token_accuracy': 0.5113276661932469, 'epoch': 0.2}
{'loss': 1.9527, 'grad_norm': 27.23882484436035, 'learning_rate': 4e-05, 'num_tokens': 53281.0, 'mean_token_accuracy': 0.5272357928752899, 'epoch': 0.2}
{'loss': 2.0901, 'grad_norm': 21.850492477416992, 'learning_rate': 4e-05, 'num_tokens': 53848.0, 'mean_token_accuracy': 0.4687110993266106, 'epoch': 0.2}
{'loss': 2.0057, 'grad_norm': 23.597742080688477, 'learning_rate': 4e-05, 'num_tokens': 54409.0, 'mean_token_accuracy': 0.5251352348923684, 'epoch': 0.2}
{'loss': 2.1736, 'grad_norm': 20.03398323059082, 'learning_rate': 4e-05, 'num_tokens': 54989.0, 'mean_token_accuracy': 0.4542489293217659, 'epoch': 0.21}
{'loss': 2.23, 'grad_norm': 23.072771072387695, 'learning_rate': 4e-05, 'num_tokens': 55538.0, 'mean_token_accuracy': 0.49045219630002973, 'epoch': 0.21}
{'loss': 2.1232, 'grad_norm': 14.322434425354004, 'learning_rate': 4e-05, 'num_tokens': 56187.0, 'mean_token_accuracy': 0.5135684466361999, 'epoch': 0.21}
{'loss': 2.0183, 'grad_norm': 27.075437545776367, 'learning_rate': 4e-05, 'num_tokens': 56763.0, 'mean_token_accuracy': 0.49476894438266755, 'epoch': 0.21}
{'loss': 2.3532, 'grad_norm': 14.84472942352295, 'learning_rate': 4e-05, 'num_tokens': 57317.0, 'mean_token_accuracy': 0.4793687981367111, 'epoch': 0.21}
{'loss': 1.9339, 'grad_norm': 26.58502197265625, 'learning_rate': 4e-05, 'num_tokens': 57931.0, 'mean_token_accuracy': 0.5167646986246109, 'epoch': 0.22}
{'loss': 2.1572, 'grad_norm': 21.62497901916504, 'learning_rate': 4e-05, 'num_tokens': 58482.0, 'mean_token_accuracy': 0.4827640883624554, 'epoch': 0.22}
{'loss': 2.1582, 'grad_norm': 22.258392333984375, 'learning_rate': 4e-05, 'num_tokens': 59042.0, 'mean_token_accuracy': 0.4647729332745075, 'epoch': 0.22}
{'loss': 2.1478, 'grad_norm': 19.988929748535156, 'learning_rate': 4e-05, 'num_tokens': 59621.0, 'mean_token_accuracy': 0.5129702720046043, 'epoch': 0.22}
{'loss': 1.995, 'grad_norm': 18.490968704223633, 'learning_rate': 4e-05, 'num_tokens': 60185.0, 'mean_token_accuracy': 0.5000634270906449, 'epoch': 0.23}
{'loss': 2.0454, 'grad_norm': 32.26403045654297, 'learning_rate': 4e-05, 'num_tokens': 60803.0, 'mean_token_accuracy': 0.5001968207955361, 'epoch': 0.23}
{'loss': 2.1092, 'grad_norm': 18.188114166259766, 'learning_rate': 4e-05, 'num_tokens': 61414.0, 'mean_token_accuracy': 0.4948327676951885, 'epoch': 0.23}
{'loss': 2.0848, 'grad_norm': 29.757644653320312, 'learning_rate': 4e-05, 'num_tokens': 61985.0, 'mean_token_accuracy': 0.522132897824049, 'epoch': 0.23}
{'loss': 1.9161, 'grad_norm': 23.246322631835938, 'learning_rate': 4e-05, 'num_tokens': 62567.0, 'mean_token_accuracy': 0.5284827475249767, 'epoch': 0.23}
{'loss': 1.8439, 'grad_norm': 25.985164642333984, 'learning_rate': 4e-05, 'num_tokens': 63192.0, 'mean_token_accuracy': 0.5575149893760681, 'epoch': 0.24}
{'loss': 2.2814, 'grad_norm': 22.973831176757812, 'learning_rate': 4e-05, 'num_tokens': 63765.0, 'mean_token_accuracy': 0.4560683962702751, 'epoch': 0.24}
{'loss': 2.0814, 'grad_norm': 20.081295013427734, 'learning_rate': 4e-05, 'num_tokens': 64333.0, 'mean_token_accuracy': 0.5160789558291435, 'epoch': 0.24}
{'loss': 2.0081, 'grad_norm': 20.495481491088867, 'learning_rate': 4e-05, 'num_tokens': 64927.0, 'mean_token_accuracy': 0.5338680526614189, 'epoch': 0.24}
{'loss': 1.9164, 'grad_norm': 15.067924499511719, 'learning_rate': 4e-05, 'num_tokens': 65531.0, 'mean_token_accuracy': 0.536922756433487, 'epoch': 0.25}
{'loss': 2.0094, 'grad_norm': 27.115646362304688, 'learning_rate': 4e-05, 'num_tokens': 66138.0, 'mean_token_accuracy': 0.5294331887364387, 'epoch': 0.25}
{'loss': 2.0579, 'grad_norm': 16.669422149658203, 'learning_rate': 4e-05, 'num_tokens': 66740.0, 'mean_token_accuracy': 0.5057457871735096, 'epoch': 0.25}
{'loss': 2.0228, 'grad_norm': 27.761085510253906, 'learning_rate': 4e-05, 'num_tokens': 67289.0, 'mean_token_accuracy': 0.5315701338648796, 'epoch': 0.25}
{'loss': 1.9738, 'grad_norm': 28.192468643188477, 'learning_rate': 4e-05, 'num_tokens': 67886.0, 'mean_token_accuracy': 0.5565891864895821, 'epoch': 0.25}
{'loss': 1.9937, 'grad_norm': 21.67032814025879, 'learning_rate': 4e-05, 'num_tokens': 68503.0, 'mean_token_accuracy': 0.5217713060975074, 'epoch': 0.26}
{'loss': 2.0041, 'grad_norm': 20.784793853759766, 'learning_rate': 4e-05, 'num_tokens': 69042.0, 'mean_token_accuracy': 0.5054797279834747, 'epoch': 0.26}
{'loss': 2.1381, 'grad_norm': 24.187545776367188, 'learning_rate': 4e-05, 'num_tokens': 69648.0, 'mean_token_accuracy': 0.47480490297079087, 'epoch': 0.26}
{'loss': 1.9382, 'grad_norm': 39.28464126586914, 'learning_rate': 4e-05, 'num_tokens': 70242.0, 'mean_token_accuracy': 0.5007756461203098, 'epoch': 0.26}
{'loss': 1.838, 'grad_norm': 14.45365047454834, 'learning_rate': 4e-05, 'num_tokens': 70881.0, 'mean_token_accuracy': 0.5373935016989708, 'epoch': 0.27}
{'loss': 2.0548, 'grad_norm': 35.4932746887207, 'learning_rate': 4e-05, 'num_tokens': 71568.0, 'mean_token_accuracy': 0.5153411866724491, 'epoch': 0.27}
{'loss': 2.1515, 'grad_norm': 28.478675842285156, 'learning_rate': 4e-05, 'num_tokens': 72151.0, 'mean_token_accuracy': 0.45860892951488497, 'epoch': 0.27}
{'loss': 2.204, 'grad_norm': 37.658050537109375, 'learning_rate': 4e-05, 'num_tokens': 72783.0, 'mean_token_accuracy': 0.4744518621265888, 'epoch': 0.27}
{'loss': 1.9879, 'grad_norm': 53.73979568481445, 'learning_rate': 4e-05, 'num_tokens': 73342.0, 'mean_token_accuracy': 0.5226306051015854, 'epoch': 0.27}
{'loss': 2.0202, 'grad_norm': 22.82015609741211, 'learning_rate': 4e-05, 'num_tokens': 73857.0, 'mean_token_accuracy': 0.5161542385816574, 'epoch': 0.28}
{'loss': 1.9571, 'grad_norm': 21.19272232055664, 'learning_rate': 4e-05, 'num_tokens': 74485.0, 'mean_token_accuracy': 0.49067933768033983, 'epoch': 0.28}
{'loss': 1.7498, 'grad_norm': 20.80762481689453, 'learning_rate': 4e-05, 'num_tokens': 75061.0, 'mean_token_accuracy': 0.5675064352154732, 'epoch': 0.28}
{'loss': 1.8114, 'grad_norm': 20.254798889160156, 'learning_rate': 4e-05, 'num_tokens': 75669.0, 'mean_token_accuracy': 0.5573739424347878, 'epoch': 0.28}
{'loss': 1.9482, 'grad_norm': 30.135419845581055, 'learning_rate': 4e-05, 'num_tokens': 76265.0, 'mean_token_accuracy': 0.5522113049030304, 'epoch': 0.29}
{'loss': 1.7218, 'grad_norm': 18.37513542175293, 'learning_rate': 4e-05, 'num_tokens': 76882.0, 'mean_token_accuracy': 0.5880430367588997, 'epoch': 0.29}
{'loss': 1.7661, 'grad_norm': 26.64278221130371, 'learning_rate': 4e-05, 'num_tokens': 77484.0, 'mean_token_accuracy': 0.5622166883945465, 'epoch': 0.29}
{'loss': 1.7849, 'grad_norm': 48.382816314697266, 'learning_rate': 4e-05, 'num_tokens': 78044.0, 'mean_token_accuracy': 0.5787257772684097, 'epoch': 0.29}
{'loss': 1.9111, 'grad_norm': 24.618831634521484, 'learning_rate': 4e-05, 'num_tokens': 78615.0, 'mean_token_accuracy': 0.5512950485944748, 'epoch': 0.29}
{'loss': 2.0661, 'grad_norm': 24.428422927856445, 'learning_rate': 4e-05, 'num_tokens': 79180.0, 'mean_token_accuracy': 0.5045179928839206, 'epoch': 0.3}
{'loss': 1.9555, 'grad_norm': 28.22298812866211, 'learning_rate': 4e-05, 'num_tokens': 79768.0, 'mean_token_accuracy': 0.522736056894064, 'epoch': 0.3}
{'loss': 1.844, 'grad_norm': 30.608501434326172, 'learning_rate': 4e-05, 'num_tokens': 80322.0, 'mean_token_accuracy': 0.5615967354178428, 'epoch': 0.3}
{'loss': 1.8885, 'grad_norm': 30.054752349853516, 'learning_rate': 4e-05, 'num_tokens': 80871.0, 'mean_token_accuracy': 0.5426172125339508, 'epoch': 0.3}
{'loss': 1.8815, 'grad_norm': 28.803911209106445, 'learning_rate': 4e-05, 'num_tokens': 81466.0, 'mean_token_accuracy': 0.5399680253863335, 'epoch': 0.31}
{'loss': 1.971, 'grad_norm': 79.21285247802734, 'learning_rate': 4e-05, 'num_tokens': 82080.0, 'mean_token_accuracy': 0.5138697230815887, 'epoch': 0.31}
{'loss': 1.9875, 'grad_norm': 33.662776947021484, 'learning_rate': 4e-05, 'num_tokens': 82639.0, 'mean_token_accuracy': 0.53319430321455, 'epoch': 0.31}
{'loss': 1.8381, 'grad_norm': 29.593156814575195, 'learning_rate': 4e-05, 'num_tokens': 83234.0, 'mean_token_accuracy': 0.5564509400725365, 'epoch': 0.31}
{'loss': 1.8865, 'grad_norm': 28.530250549316406, 'learning_rate': 4e-05, 'num_tokens': 83850.0, 'mean_token_accuracy': 0.5241616633534432, 'epoch': 0.31}
{'loss': 1.7811, 'grad_norm': 24.752853393554688, 'learning_rate': 4e-05, 'num_tokens': 84513.0, 'mean_token_accuracy': 0.5609080377221107, 'epoch': 0.32}
{'loss': 1.9075, 'grad_norm': 39.934471130371094, 'learning_rate': 4e-05, 'num_tokens': 85069.0, 'mean_token_accuracy': 0.5334190088510513, 'epoch': 0.32}
{'loss': 1.9811, 'grad_norm': 28.794321060180664, 'learning_rate': 4e-05, 'num_tokens': 85698.0, 'mean_token_accuracy': 0.558770372569561, 'epoch': 0.32}
{'loss': 1.8124, 'grad_norm': 48.523773193359375, 'learning_rate': 4e-05, 'num_tokens': 86290.0, 'mean_token_accuracy': 0.5680634671449661, 'epoch': 0.32}
{'loss': 1.7617, 'grad_norm': 20.36132049560547, 'learning_rate': 4e-05, 'num_tokens': 86885.0, 'mean_token_accuracy': 0.5783191904425621, 'epoch': 0.33}
{'loss': 1.8462, 'grad_norm': 25.122817993164062, 'learning_rate': 4e-05, 'num_tokens': 87492.0, 'mean_token_accuracy': 0.5436524918675423, 'epoch': 0.33}
{'loss': 1.9328, 'grad_norm': 27.859142303466797, 'learning_rate': 4e-05, 'num_tokens': 88071.0, 'mean_token_accuracy': 0.5297084736824036, 'epoch': 0.33}
{'loss': 1.7354, 'grad_norm': 32.26901626586914, 'learning_rate': 4e-05, 'num_tokens': 88673.0, 'mean_token_accuracy': 0.57190834492445, 'epoch': 0.33}
{'loss': 1.6829, 'grad_norm': 29.438125610351562, 'learning_rate': 4e-05, 'num_tokens': 89306.0, 'mean_token_accuracy': 0.575744012594223, 'epoch': 0.33}
